months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_year,fraud_reported
60,23,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,9,1,YES,1,0,NO,Saab,2000,N
121,34,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,wife,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,None,SC,5,1,NO,1,1,NO,Toyota,2010,N
180,38,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,12,1,NO,0,2,YES,Dodge,2003,Y
473,58,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,12,4,YES,0,0,NO,Accura,1999,Y
70,26,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,0,3,?,1,2,YES,Nissan,2012,N
140,31,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,9,1,NO,0,2,YES,Suburu,2015,N
160,37,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,19,1,YES,1,0,NO,Accura,2015,N
196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,8,3,?,2,0,NO,Nissan,2014,N
460,62,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,20,3,NO,1,0,?,Suburu,2011,N
217,41,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,15,3,?,1,2,?,Accura,1996,N
370,55,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,20,3,NO,0,0,YES,Suburu,2000,Y
413,55,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,15,1,?,2,2,?,Dodge,2011,Y
237,40,IN,100/300,1000,883.31,0,MALE,College,craft-repair,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,6,1,NO,1,3,NO,Ford,2005,N
8,35,OH,100/300,2000,1266.92,0,MALE,Masters,sales,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,16,3,NO,1,3,YES,Ford,2006,Y
257,43,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,own-child,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,PA,4,1,YES,1,3,YES,Toyota,2005,N
202,34,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,?,Minor Damage,None,VA,5,1,YES,2,1,?,Suburu,2003,Y
224,40,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,21,1,NO,1,0,YES,Dodge,2009,N
241,45,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,5,1,NO,2,2,NO,Accura,2011,N
64,25,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,22,4,NO,0,0,?,Toyota,2005,N
166,37,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,husband,27500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,10,3,NO,2,2,?,Ford,2006,Y
155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,16,3,YES,2,3,NO,BMW,2008,N
114,30,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,1,3,NO,1,2,?,Suburu,2015,N
149,37,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,17,1,YES,0,1,YES,Audi,1999,N
147,33,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,15,1,YES,2,0,YES,Mercedes,1995,Y
62,28,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,3,1,?,1,1,YES,Suburu,2004,Y
289,49,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,unmarried,0,0,2015-01-18,Parked Car,?,Minor Damage,None,WV,16,1,NO,1,1,YES,Suburu,2001,N
431,54,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,4,3,?,2,0,?,Jeep,2007,N
199,37,IN,250/500,500,1262.08,0,MALE,JD,tech-support,wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,4,1,?,0,3,NO,Nissan,2011,Y
79,26,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,19,1,NO,2,2,?,BMW,2010,N
116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,1,1,?,1,1,?,BMW,2001,Y
37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,17,3,YES,1,0,NO,Dodge,2010,N
106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,23,1,NO,2,2,NO,Mercedes,2005,N
269,44,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,14,1,YES,0,2,?,Toyota,2014,N
265,40,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,17,3,NO,2,3,?,Accura,2002,N
163,33,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,11,3,YES,1,1,?,Honda,2014,N
355,47,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,19,3,NO,2,1,NO,Audi,2003,Y
175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,NY,5,1,?,2,0,YES,Volkswagen,1995,N
192,35,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,19,1,NO,0,0,?,Mercedes,2000,N
430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,19,3,?,0,3,YES,Nissan,1998,N
91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,None,NY,4,1,?,1,2,?,BMW,2008,N
217,39,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,not-in-family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,None,WV,8,1,?,2,1,YES,Toyota,2000,N
223,40,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,7,3,YES,1,0,?,Suburu,1999,N
195,39,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,VA,5,1,NO,0,1,YES,Ford,2009,N
22,26,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,3,1,YES,1,2,NO,Chevrolet,1995,N
439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,12,3,?,2,3,?,Honda,2014,N
94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,own-child,0,0,2015-02-22,Parked Car,?,Minor Damage,None,VA,19,1,NO,1,3,NO,Chevrolet,2014,N
11,39,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,22,1,YES,0,1,NO,Saab,2007,N
151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,12,3,NO,1,1,NO,Ford,2000,N
154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,36900,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,15,3,YES,2,1,?,Nissan,2014,Y
245,44,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,husband,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,23,3,NO,0,3,NO,Honda,1997,N
119,32,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,12,1,NO,0,3,YES,BMW,2011,N
215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,own-child,0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,20,3,YES,2,2,YES,Suburu,2003,Y
295,42,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,not-in-family,62400,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,16,3,NO,0,0,NO,Ford,2006,Y
254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,other-relative,35700,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,6,3,YES,2,2,NO,Dodge,1995,Y
107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,not-in-family,43400,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,12,1,YES,0,1,NO,Audi,2009,Y
478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,17,3,NO,1,1,NO,BMW,1998,N
128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,8,1,NO,0,3,NO,Audi,1997,N
338,49,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,own-child,0,-51500,2015-02-27,Parked Car,?,Minor Damage,None,NC,13,1,NO,0,1,?,Ford,2004,N
271,42,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,own-child,56200,-50000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,12,2,?,2,3,?,Audi,2003,Y
222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,not-in-family,37800,-50300,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,7,1,NO,0,2,NO,Honda,1995,Y
199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,husband,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,10,1,NO,1,2,NO,Chevrolet,1999,N
215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,not-in-family,0,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,7,3,NO,2,0,YES,Mercedes,2002,N
192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,wife,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,18,3,YES,1,0,YES,BMW,2005,N
120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,78300,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,22,3,NO,2,0,NO,Ford,2010,N
270,45,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,husband,0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,18,3,NO,1,1,YES,Suburu,1998,N
319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,not-in-family,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,22,3,NO,0,2,?,Audi,2005,N
194,39,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,wife,0,-45000,2015-01-24,Vehicle Theft,?,Minor Damage,None,SC,15,1,YES,2,2,YES,Saab,2004,N
227,38,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,unmarried,0,0,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,16,1,?,1,2,?,BMW,2013,Y
137,31,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,husband,52700,-40600,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,6,3,NO,1,2,NO,Accura,2005,N
244,40,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,wife,0,0,2015-01-03,Vehicle Theft,?,Trivial Damage,None,NC,10,1,?,2,1,?,Accura,2005,N
78,29,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,other-relative,0,0,2015-01-29,Vehicle Theft,?,Minor Damage,Police,NY,3,1,YES,2,2,NO,Nissan,2002,N
200,35,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,wife,57300,-80600,2015-01-19,Vehicle Theft,?,Trivial Damage,None,VA,13,1,NO,0,3,YES,Volkswagen,2002,N
284,48,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,not-in-family,0,-44200,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,16,2,?,2,3,NO,Audi,2013,Y
275,41,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,own-child,35700,0,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,13,3,YES,0,1,?,Suburu,2007,N
153,34,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,husband,800,0,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,9,3,NO,2,1,?,Ford,2007,N
134,32,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,own-child,36400,0,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,2,1,?,2,1,YES,BMW,2015,N
31,36,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,not-in-family,0,-78600,2015-01-30,Parked Car,?,Trivial Damage,None,WV,9,1,NO,0,1,YES,Dodge,2002,N
41,25,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,not-in-family,0,-56100,2015-01-07,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,12,3,YES,2,0,?,Accura,2011,Y
127,29,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,own-child,0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,12,2,YES,1,1,?,Saab,1995,N
61,23,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,own-child,0,-62400,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,14,1,NO,0,3,?,Honda,2004,Y
207,42,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,own-child,55200,0,2015-02-28,Parked Car,?,Trivial Damage,None,WV,9,1,NO,0,1,NO,BMW,2007,N
219,43,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,not-in-family,90700,-20800,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,3,3,NO,1,1,?,Ford,2009,N
271,42,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,21,3,NO,1,0,NO,Mercedes,2005,N
80,25,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,husband,67700,-58400,2015-02-21,Vehicle Theft,?,Minor Damage,None,OH,5,1,NO,2,0,YES,Toyota,2001,N
325,47,IN,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,not-in-family,61500,0,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,11,1,YES,0,3,NO,Dodge,2006,Y
29,25,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,own-child,0,-71700,2015-01-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,4,4,YES,1,2,YES,Nissan,2013,Y
295,48,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,wife,0,0,2015-02-22,Parked Car,?,Trivial Damage,None,WV,6,1,?,1,2,YES,Saab,1999,N
239,42,IL,100/300,1000,969.5,0,MALE,College,exec-managerial,not-in-family,0,0,2015-01-26,Vehicle Theft,?,Trivial Damage,None,NC,10,1,NO,0,0,?,Audi,2007,N
269,41,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,not-in-family,0,-72300,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,23,1,YES,0,0,?,Saab,2007,N
80,27,IL,100/300,1000,1474.17,0,FEMALE,College,tech-support,unmarried,0,0,2015-02-19,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,13,1,YES,1,0,YES,Saab,2004,N
279,41,IL,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,husband,37300,-31700,2015-01-29,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,16,3,?,2,3,NO,Ford,2013,N
165,33,OH,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,other-relative,35300,-58100,2015-02-15,Parked Car,?,Minor Damage,Police,WV,3,1,NO,1,1,NO,Toyota,2008,N
350,54,OH,500/1000,500,1495.1,0,MALE,College,other-service,wife,50500,0,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,15,3,NO,0,0,?,Chevrolet,2014,N
295,49,IL,100/300,500,1141.62,0,MALE,College,prof-specialty,husband,34300,-24300,2015-01-01,Vehicle Theft,?,Minor Damage,None,WV,4,1,YES,1,3,YES,Mercedes,2002,N
464,61,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,husband,0,-56400,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,6,3,?,0,2,YES,Saab,2000,Y
118,28,IN,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,own-child,0,-57000,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,22,2,NO,1,0,?,Volkswagen,1997,N
298,47,IL,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,other-relative,28800,0,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,1,1,?,0,0,?,Saab,2000,Y
87,31,IN,500/1000,1000,1074.07,0,FEMALE,Masters,sales,husband,0,-47500,2015-01-27,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,16,3,NO,0,3,YES,Nissan,2006,Y
261,42,OH,250/500,500,1337.56,0,FEMALE,College,prof-specialty,unmarried,0,0,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,18,1,?,1,2,YES,Dodge,2010,N
453,60,IN,100/300,500,1298.91,6000000,MALE,PhD,craft-repair,unmarried,52600,-38800,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,0,1,YES,0,0,?,Ford,2015,Y
210,41,IL,500/1000,500,1222.75,0,MALE,High School,exec-managerial,other-relative,0,-41000,2015-01-30,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,12,3,?,2,0,NO,BMW,2001,N
168,32,IN,100/300,1000,1059.52,0,MALE,MD,protective-serv,own-child,0,-40600,2015-03-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,13,2,?,1,1,?,Saab,2007,N
390,51,OH,250/500,2000,1124.38,0,MALE,Associate,armed-forces,other-relative,0,0,2015-02-24,Vehicle Theft,?,Minor Damage,None,VA,9,1,YES,1,1,YES,Ford,2001,N
258,46,IN,100/300,1000,1110.37,10000000,MALE,MD,machine-op-inspct,other-relative,34400,-56800,2015-01-24,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,14,3,NO,0,1,?,Accura,1997,Y
107,31,IL,500/1000,2000,1374.22,0,FEMALE,PhD,machine-op-inspct,other-relative,62000,-63100,2015-02-26,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,16,1,NO,0,3,NO,Suburu,2002,N
225,41,OH,500/1000,2000,1103.58,0,MALE,High School,exec-managerial,unmarried,41200,-36200,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,20,3,?,2,2,NO,Toyota,2011,Y
164,38,IL,250/500,2000,1269.76,0,FEMALE,PhD,transport-moving,not-in-family,44300,0,2015-01-17,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,4,1,NO,1,3,YES,Ford,2015,N
245,39,OH,250/500,500,964.79,8000000,FEMALE,Associate,adm-clerical,husband,58000,0,2015-02-20,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,7,3,?,0,1,?,BMW,2010,N
255,41,IL,500/1000,2000,1167.3,4000000,MALE,High School,priv-house-serv,other-relative,0,0,2015-02-22,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,22,1,NO,2,0,?,Volkswagen,2000,N
206,36,IL,500/1000,500,1625.45,4000000,FEMALE,MD,other-service,other-relative,0,-53700,2015-01-23,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,11,1,NO,2,1,NO,Ford,2008,Y
203,38,IL,250/500,500,1394.43,0,FEMALE,Masters,other-service,not-in-family,0,0,2015-01-31,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,7,1,?,0,1,YES,Nissan,1999,Y
22,25,OH,250/500,2000,1053.24,0,FEMALE,College,prof-specialty,other-relative,51100,0,2015-01-05,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,0,4,YES,1,0,NO,Accura,1995,N
211,35,IL,100/300,500,1040.75,0,FEMALE,JD,prof-specialty,not-in-family,0,0,2015-02-03,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,1,1,YES,1,1,?,BMW,2011,N
206,39,IN,250/500,1000,1302.4,6000000,MALE,JD,craft-repair,unmarried,47200,-69700,2015-02-17,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,12,3,NO,2,3,YES,Ford,2013,N
166,38,IL,100/300,2000,1588.55,0,MALE,MD,protective-serv,unmarried,59600,-32100,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,8,1,NO,0,0,?,Suburu,2001,N
165,32,IN,500/1000,500,1399.26,0,FEMALE,High School,tech-support,own-child,70500,0,2015-02-08,Parked Car,?,Minor Damage,Police,PA,9,1,?,2,0,?,BMW,1998,N
274,43,OH,100/300,2000,1352.31,0,MALE,College,farming-fishing,wife,40700,-47300,2015-02-06,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,22,1,YES,0,3,YES,BMW,2006,Y
